Date,Open,High,Low,Close,Adj Close,Volume
Feb 04 2022,37234.06,38121.74,37093.63,37971.30,37971.30,20855050240
Feb 03 2022,36944.80,37154.60,36375.54,37154.60,37154.60,18591534769
Feb 02 2022,38743.71,38834.62,36832.73,36952.98,36952.98,19155189416
Feb 01 2022,38481.77,39115.13,38113.66,38743.27,38743.27,20288500328
Jan 31 2022,37920.28,38647.26,36733.57,38483.13,38483.13,20734730465
Jan 30 2022,38151.92,38266.34,37437.71,37917.60,37917.60,14643548444
Jan 29 2022,37780.71,38576.26,37406.47,38138.18,38138.18,17194183075
Jan 28 2022,37128.45,37952.88,36211.11,37784.33,37784.33,22238830523
Jan 27 2022,36841.88,37148.32,35629.28,37138.23,37138.23,25041426629
Jan 26 2022,36950.52,38825.41,36374.91,36852.12,36852.12,31324598034
Jan 25 2022,36654.80,37444.57,35779.43,36954.00,36954.00,26428189594
Jan 24 2022,36275.73,37247.52,33184.06,36654.33,36654.33,41856658597
Jan 23 2022,35047.36,36433.31,34784.97,36276.80,36276.80,26017975951
Jan 22 2022,36471.59,36688.81,34349.25,35030.25,35030.25,39714385405
Jan 21 2022,40699.61,41060.53,35791.43,36457.32,36457.32,43011992031
Jan 20 2022,41744.03,43413.02,40672.82,40680.42,40680.42,20382033940
Jan 19 2022,42374.04,42478.30,41242.91,41744.33,41744.33,23091543258
Jan 18 2022,42250.07,42534.40,41392.21,42375.63,42375.63,22417209227
Jan 17 2022,43118.12,43179.39,41680.32,42250.55,42250.55,21690904261
Jan 16 2022,43172.04,43436.81,42691.02,43113.88,43113.88,17902097845
Jan 15 2022,43101.90,43724.67,42669.04,43177.40,43177.40,18371348298
Jan 14 2022,42598.87,43346.69,41982.62,43099.70,43099.70,23577403399
Jan 13 2022,43946.74,44278.42,42447.04,42591.57,42591.57,47691135082
Jan 12 2022,42742.18,44135.37,42528.99,43949.10,43949.10,33499938689
Jan 11 2022,41819.51,43001.16,41407.75,42735.86,42735.86,26327648900
Jan 10 2022,41910.23,42199.48,39796.57,41821.26,41821.26,32104232331
Jan 09 2022,41734.73,42663.95,41338.16,41911.60,41911.60,21294384372
Jan 08 2022,41561.46,42228.94,40672.28,41733.94,41733.94,28066355845
Jan 07 2022,43153.57,43153.57,41077.45,41557.90,41557.90,84196607520
Jan 06 2022,43565.51,43748.72,42645.54,43160.93,43160.93,30208048289
Jan 05 2022,45899.36,46929.05,42798.22,43569.00,43569.00,36851084859
Jan 04 2022,46458.85,47406.55,45752.46,45897.57,45897.57,42494677905
Jan 03 2022,47343.54,47510.73,45835.96,46458.12,46458.12,33071628362
Jan 02 2022,47680.93,47881.41,46856.94,47345.22,47345.22,27951569547
Jan 01 2022,46311.75,47827.31,46288.48,47686.81,47686.81,24582667004
Dec 31 2021,47169.37,48472.53,45819.95,46306.45,46306.45,36974172400
Dec 30 2021,46490.61,47879.96,46060.31,47178.13,47178.13,26686491018
Dec 29 2021,47623.87,48119.74,46201.50,46444.71,46444.71,30049226299
Dec 28 2021,50679.86,50679.86,47414.21,47588.86,47588.86,33430376883
Dec 27 2021,50802.61,51956.33,50499.47,50640.42,50640.42,24324345758
Dec 26 2021,50428.69,51196.38,49623.11,50809.52,50809.52,20964372926
Dec 25 2021,50854.92,51176.60,50236.71,50429.86,50429.86,19030650914
Dec 24 2021,50806.05,51814.03,50514.50,50822.20,50822.20,24367912228
Dec 23 2021,48626.34,51332.34,48065.84,50784.54,50784.54,28223878108
Dec 22 2021,48937.10,49544.80,48450.94,48628.51,48628.51,24447979559
Dec 21 2021,46886.08,49300.92,46698.77,48936.61,48936.61,27055803928
Dec 20 2021,46707.06,47401.72,45579.81,46880.28,46880.28,30961902129
Dec 19 2021,46853.87,48089.66,46502.95,46707.02,46707.02,25154053861
Dec 18 2021,46219.25,47313.83,45598.44,46848.78,46848.78,26098292690
Dec 17 2021,47653.73,48004.89,45618.21,46202.14,46202.14,32902725329
Dec 16 2021,48900.46,49425.57,47529.88,47665.43,47665.43,27268150947
Dec 15 2021,48379.75,49473.96,46671.96,48896.72,48896.72,36541828520
Dec 14 2021,46709.82,48431.40,46424.50,46612.63,46612.63,34638619079
Dec 13 2021,50114.74,50205.00,45894.85,46737.48,46737.48,32166727776
Dec 12 2021,49354.86,50724.87,48725.85,50098.34,50098.34,21939223599
Dec 11 2021,47264.63,49458.21,46942.35,49362.51,49362.51,25775869261
Dec 10 2021,47642.14,50015.25,47023.70,47243.30,47243.30,30966005122
Dec 09 2021,50450.08,50797.16,47358.35,47672.12,47672.12,29603577251
Dec 08 2021,50667.65,51171.38,48765.99,50504.80,50504.80,28479699446
Dec 07 2021,50581.83,51934.78,50175.81,50700.09,50700.09,33676814852
Dec 06 2021,49413.48,50929.52,47281.04,50582.63,50582.63,37707308001
Dec 05 2021,49201.52,49768.15,47857.50,49368.85,49368.85,37198201161
Dec 04 2021,53727.88,53904.68,42874.62,49200.70,49200.70,61385677469
Dec 03 2021,56509.16,57482.17,52496.59,53598.25,53598.25,39789134215
Dec 02 2021,57217.37,57349.23,55895.13,56477.82,56477.82,32379968686
Dec 01 2021,56907.96,59041.68,56553.08,57229.83,57229.83,36858195307
Nov 30 2021,57830.11,59113.40,56057.28,57005.43,57005.43,36708594618
Nov 29 2021,57291.91,58872.88,56792.53,57806.57,57806.57,32370840356
Nov 28 2021,54813.02,57393.84,53576.73,57248.46,57248.46,28116886357
Nov 27 2021,53736.43,55329.26,53668.36,54815.08,54815.08,30560857714
Nov 26 2021,58960.29,59183.48,53569.77,53569.77,53569.77,41810748221
Nov 25 2021,57165.42,59367.97,57146.68,57274.68,57274.68,34284016248
Nov 24 2021,57565.85,57803.07,55964.22,56280.43,56280.43,36635566789
Nov 23 2021,56304.55,57875.52,55632.76,57569.07,57569.07,37485803899
Nov 22 2021,58706.85,59266.36,55679.84,56289.29,56289.29,35036121783
Nov 21 2021,59730.51,60004.43,58618.93,58730.48,58730.48,26123447605
Nov 20 2021,58115.08,59859.88,57469.73,59697.20,59697.20,30624264863
Nov 19 2021,56896.13,58351.11,55705.18,58119.58,58119.58,38702407772
Nov 18 2021,60360.14,60948.50,56550.79,56942.14,56942.14,41388338699
Nov 17 2021,60139.62,60823.61,58515.41,60368.01,60368.01,39178392930
Nov 16 2021,63721.20,63721.20,59016.34,60161.25,60161.25,46844335592
Nov 15 2021,65521.29,66281.57,63548.14,63557.87,63557.87,30558763548
Nov 14 2021,64455.37,65495.18,63647.81,65466.84,65466.84,25122092191
Nov 13 2021,64158.12,64915.68,63303.73,64469.53,64469.53,30474228777
Nov 12 2021,64863.98,65460.82,62333.91,64155.94,64155.94,36084893887
Nov 11 2021,64978.89,65579.02,64180.49,64949.96,64949.96,35880633236
Nov 10 2021,66953.34,68789.63,63208.11,64995.23,64995.23,48730828378
Nov 09 2021,67549.73,68530.34,66382.06,66971.83,66971.83,42357991721
Nov 08 2021,63344.07,67673.74,63344.07,67566.83,67566.83,41125608330
Nov 07 2021,61554.92,63326.99,61432.49,63326.99,63326.99,24726754302
Nov 06 2021,61068.88,61590.68,60163.78,61527.48,61527.48,29094934221
Nov 05 2021,61460.08,62541.47,60844.61,61125.68,61125.68,30605102446
Nov 04 2021,62941.80,63123.29,60799.66,61452.23,61452.23,32615846901
Nov 03 2021,63254.34,63516.94,61184.24,62970.05,62970.05,36124731509
Nov 02 2021,60963.25,64242.79,60673.05,63226.40,63226.40,37746665647
Nov 01 2021,61320.45,62419.00,59695.18,61004.41,61004.41,36150572843
Oct 31 2021,61850.49,62406.17,60074.33,61318.96,61318.96,32241199927
Oct 30 2021,62239.36,62330.14,60918.39,61888.83,61888.83,32157938616
Oct 29 2021,60624.87,62927.61,60329.96,62227.96,62227.96,36856881767
Oct 28 2021,58470.73,62128.63,58206.92,60622.14,60622.14,45257083247
Oct 27 2021,60352.00,61435.18,58208.19,58482.39,58482.39,43657076893
Oct 26 2021,63032.76,63229.03,59991.16,60363.79,60363.79,34878965587
Oct 25 2021,60893.93,63729.32,60691.80,63039.82,63039.82,31064911614
Oct 24 2021,61368.34,61505.80,59643.34,60930.84,60930.84,27316183882
Oct 23 2021,60694.63,61743.88,59826.52,61393.62,61393.62,26882546034
Oct 22 2021,62237.89,63715.02,60122.80,60692.27,60692.27,38434082775
Oct 21 2021,66002.23,66600.55,62117.41,62210.17,62210.17,45908121370
Oct 20 2021,64284.59,66930.39,63610.68,65992.84,65992.84,40788955582
Oct 19 2021,62043.16,64434.54,61622.93,64261.99,64261.99,40471196346
Oct 18 2021,61548.80,62614.66,60012.76,62026.08,62026.08,38055562075
Oct 17 2021,60887.65,61645.52,59164.47,61553.62,61553.62,29032367511
Oct 16 2021,61609.53,62274.48,60206.12,60892.18,60892.18,34250964237
Oct 15 2021,57345.90,62757.13,56868.14,61593.95,61593.95,51780081801
Oct 14 2021,57372.83,58478.73,56957.07,57321.52,57321.52,36615791366
Oct 13 2021,56038.26,57688.66,54370.97,57401.10,57401.10,41684252783
Oct 12 2021,57526.83,57627.88,54477.97,56041.06,56041.06,41083758949
